Seed,Sample Size,True Effect 1,True Effect 2,Causal Effect Estimate 1 (Cumulant),Causal Effect Estimate 2 (Cumulant),Causal Effect Estimate 1 (Min Norm),Causal Effect Estimate 2 (Min Norm),Distance to Line,GRICA Effect Estimate 1,GRICA Effect Estimate 2
13,10000000,-0.5302869784689067,0.7625821338387831,-0.5290071893319748,0.7602570158195424,0.12012965235703661,0.1222194165588393,-0.0010573411129645685,-1.1922581195831299,0.7345840334892273
14,10,-0.5333396644199027,0.7986256480561633,-0.7885236694948823,0.7078843344746181,0.1218733025943538,0.23426772515284272,-0.06611703769056063,-0.889734148979187,0.7971055507659912
14,1000,-0.5333396644199027,0.7986256480561633,-1.1580921890916505,1.4467533488135182,0.15030487729201203,0.151873960009218,0.01964821849444713,-1.1962867975234985,1.2725127935409546
14,100000,-0.5333396644199027,0.7986256480561633,-1.2301293306144203,1.5228133589800057,0.12506276038387365,0.1208943315829921,0.0021124878159233217,-1.1444180011749268,1.2226179838180542
14,10000000,-0.5333396644199027,0.7986256480561633,-0.5248163148847552,0.7900161599842555,0.12154779010265299,0.11667868036612966,0.00016807765738155724,-1.1444180011749268,1.2226179838180542
15,10,-0.7150980877675344,-0.7662510151299418,-0.817824057423278,-0.9846574245517759,0.07816159758049103,-0.9074863819954018,0.2950785492915184,-0.6674663424491882,-0.9672486782073975
15,1000,-0.7150980877675344,-0.7662510151299418,-0.8265082290775713,-0.7900456182573623,0.06022809184403009,-0.07465336121891102,-0.058956988805255406,-0.6940529346466064,-0.909268856048584
15,100000,-0.7150980877675344,-0.7662510151299418,-0.8161570659517693,-0.8495611655101594,0.11609397542458089,-0.15606174456419447,0.007433983087307616,-0.7748876214027405,-1.0337631702423096
15,10000000,-0.7150980877675344,-0.7662510151299418,-0.7056047120973413,-0.7597391281836021,0.11593106580683589,-0.15837607120224537,0.00040436173376894936,-0.7748876214027405,-1.0337631702423096
16,10,-0.763886333763139,0.5213197353376988,-0.8417357284953342,0.7550400065738009,0.13157600982237508,0.25728324501133215,0.222873561113482,-0.8038381934165955,0.5097714066505432
16,1000,-0.763886333763139,0.5213197353376988,-0.8050165879246552,0.6105739162233461,-0.043852958649486164,-0.05049303563892448,0.04692057242469477,-0.9008970260620117,0.18043318390846252
16,100000,-0.763886333763139,0.5213197353376988,-0.7215820169774614,0.48615041520638186,-0.08721313880333516,-0.09517153307002006,0.003121460844584635,-0.9159643054008484,0.2363618016242981
16,10000000,-0.763886333763139,0.5213197353376988,-0.7653054140833622,0.5244281015412313,-0.09500436806405915,-0.10170590706527541,0.0015212471605899056,-0.9159643054008484,0.2363618016242981
17,10,-0.8325455689242085,-0.7271964478898524,0.11417686641048515,-0.21319131344364653,0.12350204125976483,-0.20764493135042475,-0.11907615556330987,0.11293365061283112,-0.0483880452811718
17,1000,-0.8325455689242085,-0.7271964478898524,-0.67017602788636,-0.9509276421657471,-0.8307787384520064,-0.7798328863359416,-0.03571481187692102,-1.1146620512008667,-0.3795335292816162
17,100000,-0.8325455689242085,-0.7271964478898524,-0.861002013531216,-0.6909932270701101,-0.791071035397674,-0.7634538855649413,0.004826707167540321,-1.029835820198059,-0.281453013420105
17,10000000,-0.8325455689242085,-0.7271964478898524,-0.8359831977950847,-0.7235259459768948,-0.7956843742904166,-0.7654182625492206,6.983323115381692e-05,-1.029835820198059,-0.281453013420105
18,10,-0.6175743898807153,0.6207672710600982,1.8323834026631485,3.233813397284872,-0.3637966754741053,0.26952989130679406,0.5381988734967805,0.1705658733844757,0.2898998558521271
18,1000,-0.6175743898807153,0.6207672710600982,0.2389186718732107,1.4580966917780738,-0.6027601762417314,0.5735459349275318,0.053339663295921824,-0.2208162248134613,1.2255969047546387
18,100000,-0.6175743898807153,0.6207672710600982,0.06844368100382442,1.3094159167884485,-0.620279399050547,0.6167372779109112,0.0011218837549940807,-0.14804738759994507,1.246694564819336
18,10000000,-0.6175743898807153,0.6207672710600982,-0.6278952721497564,0.6102789285510601,-0.6195127875811235,0.6186727943065284,0.00013239502406578742,-0.14804738759994507,1.246694564819336
19,10,0.7759433916956944,0.720867133387871,2.461031758882752,-1.943020163055642,1.2043082027335388,0.5960722371237878,0.08097059827205641,0.7816095352172852,1.6995365619659424
19,1000,0.7759433916956944,0.720867133387871,0.8402434015405074,0.7141947074066028,0.7107771671585912,0.8256484857460801,0.03162555532956045,1.1707921028137207,0.753202497959137
