,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
139,34,10000000,0.70591922067731,-0.8571590152114037,0.005174455749358256,0.7012479286114734,0.00661731814208803,-0.8603575840981408,0.003731593356628481,0.07978476194193652,0.6344083344998415,0.10130179783014813,-0.9071037218942224,0.05826772605372491,0.39442498262626996,0.3838818851395414,0.45619573189802465,-0.5720214401433429,0.33265423335451527,0.27721276672905915,0.4577383,0.35157126100142055,-0.68328065,0.20285427245669777
140,35,10,0.7018324780041424,0.8526474507574657,1.0758801785316954,1.3063999828095536,0.8614128353316857,1.9528589757532175,1.2903475217317049,0.6622048976038861,0.6373212363266042,0.09191829061686345,-0.19823328871220605,1.2324915045909088,1.0,0.0,1.0,0.0,1.0,1.063999138874535,2.0707765,1.9505281209609528,1.0039669,0.1774701567881169
141,35,1000,0.7018324780041424,0.8526474507574657,0.10394022574422167,0.7884803788664826,0.12345952001074077,0.9246287427724995,0.08442093147770256,0.999742311328092,0.0012059749279854962,0.9982816769445966,-0.0010256885943845761,1.0012029457115874,1.0,0.0,1.0,0.0,1.0,0.20557239063913477,0.90926725,0.2955616549820146,0.7540958,0.11558312629625496
142,35,100000,0.7018324780041424,0.8526474507574657,0.05152514874215412,0.7352601904915512,0.04762919006323263,0.8999021167182015,0.05542110742107562,0.9958695665198734,0.01647617126499126,0.9765240683761944,-0.01297308609848796,1.0152150646635523,1.0,0.0,1.0,0.0,1.0,0.2166616605248171,0.8854282,0.261594779354308,0.70622355,0.1717285416953262
143,35,10000000,0.7018324780041424,0.8526474507574657,0.011170064396201586,0.709450583159937,0.010854591935469931,0.8624405644791108,0.011485536856933239,0.9961056770251033,0.01573697593184045,0.9775773045205988,-0.012477685025678524,1.0146340495296078,0.34195915312051395,1.024667402759598,0.4599885797156712,0.6617143402868039,0.22392972652535673,0.2166616605248171,0.8854282,0.261594779354308,0.70622355,0.1717285416953262
144,36,10,0.7125652546274042,0.5973568145222495,0.08088160813137102,0.6713144891588958,0.057890509255995266,0.5353077451488963,0.10387270700674676,1.0043178608333154,0.11085155019788663,0.8444331245762885,-0.09808754033416722,1.1642025970903422,2.286341439088746,-0.9143811442812919,2.283224432209252,-0.7702667897423978,2.2894584459682394,0.8171351980397962,-0.13154444,1.1846068695189322,0.32874724,0.44966352656066005
145,36,1000,0.7125652546274042,0.5973568145222495,0.1685994971350479,0.5957746037326519,0.16390169200127694,0.7008771389708506,0.17329730226881887,0.09903029948406043,0.641540763591982,0.09967436746906842,0.6561285003633721,0.09838623149905244,0.03687594187171913,0.7613543462758543,0.06846964728018017,0.6005121944694947,0.005282236463258095,0.18077317447324692,0.5769622,0.19030268563015082,0.49506325,0.17124366331634303
146,36,100000,0.7125652546274042,0.5973568145222495,0.0634907981637561,0.7483966026874062,0.05028500593779018,0.5515415836023274,0.07669659038972201,0.13303884638838948,0.6142130929550476,0.13802548052077607,0.6738496761280224,0.12805221225600288,1.0,0.0,1.0,0.0,1.0,0.24214251407823567,0.5506321,0.22725376293193808,0.44381744,0.2570312652245333
147,36,10000000,0.7125652546274042,0.5973568145222495,0.0008743080635404283,0.7117327735498029,0.0011682874967522152,0.5977034777842387,0.0005803286303286415,0.1274013023336952,0.6259900280766288,0.12149796245123537,0.6769872509575201,0.13330464221615504,0.33622326062145763,0.4844928957503994,0.320072242360824,0.3868636377696687,0.3523742788820913,0.24214251407823567,0.5506321,0.22725376293193808,0.44381744,0.2570312652245333
148,37,10,-0.5795442121669782,0.6462744671487468,2.43774186566041,1.123620078849403,2.9387995863992273,1.8979039809433755,1.9366841449215928,0.07749899836301158,-0.49645363006805976,0.14337229214701977,0.6387610711167226,0.011625704579003398,0.9286037744370489,0.0,1.0,0.09228311526425596,0.8572075488740978,0.8204870747304555,-1.1321561,0.9535284968483765,0.2019959,0.6874456526125344
149,37,1000,-0.5795442121669782,0.6462744671487468,0.5533091952022562,-0.9290153593176799,0.6030103309012292,0.32080543684144813,0.5036080595032831,0.020140173445599676,-0.5926263947574691,0.022573226193693313,0.6348308071552275,0.01770712069750604,1.6458744304766861,-1.1247665360098453,0.9407777912304952,2.1656470425160186,2.350971069722877,0.586391347698737,-0.8998031,0.552604759267612,0.2454693,0.6201779361298622
150,37,100000,-0.5795442121669782,0.6462744671487468,0.32303245977276995,-0.7797915057869783,0.34552548263963156,0.4520435027051965,0.30053943690590834,0.030664463501608955,-0.5971116368778298,0.030312484090152685,0.6262293320322561,0.031016442913065226,0.9642926232210202,-1.4545914622788116,1.509888687939679,0.3756815719056191,0.41869655850236137,0.6058432070490273,-1.0009484,0.7271304036753506,0.3331183,0.48455601042270396
151,37,10000000,-0.5795442121669782,0.6462744671487468,0.044217587641615874,-0.5517468120877371,0.04796424413472022,0.6724297966117647,0.040470931148511524,0.029785203023013018,-0.5980265096254999,0.031891091430996096,0.6283860328448758,0.027679314615029937,0.5999901646409768,-1.029882512171281,0.777055987360204,0.37294926342903373,0.42292434192174955,0.6058432070490273,-1.0009484,0.7271304036753506,0.3331183,0.48455601042270396
152,38,10,0.8172138436618996,0.8692657182217347,0.6332194439851262,1.5010664500518143,0.8368098652435951,0.49580393721234495,0.4296290227266573,0.1601064043652967,0.7136502576760878,0.12672764514334206,1.0374557379126566,0.19348516358725132,1.0,0.0,1.0,0.0,1.0,0.2559200719692209,0.71316695,0.12731905159914,1.2035167,0.3845210923393018
153,38,1000,0.8172138436618996,0.8692657182217347,0.09154051320259513,0.9342944522906909,0.14326801918107274,0.8346576359024951,0.03981300722411751,0.03983241304313457,0.8217055170231544,0.005496325589796405,0.9337378530752302,0.07416850049647274,0.9379163966612809,0.0,1.0,1.6305971403514194,0.8758327933225617,0.20543324664673768,0.941528,0.15211952121409258,1.0941856,0.2587469720793828
154,38,100000,0.8172138436618996,0.8692657182217347,0.1436282268586055,0.9427313798360452,0.15359203364899804,0.7530758201104479,0.13366442006821294,0.009906048891894304,0.8082846318526223,0.010926407914562355,0.8769897438078033,0.008885689869226252,0.35273292301741604,1.1526450342429058,0.41045705867873405,1.1257067436445563,0.29500878735609803,0.2147914646178773,0.9383705,0.14825578777783197,1.1138138,0.2813271414579226
155,38,10000000,0.8172138436618996,0.8692657182217347,0.10797656421819096,0.7224089197328664,0.11600993383104788,0.956142911061715,0.09994319460533405,0.009949388926339228,0.8082527176043472,0.010965460420246894,0.8770311448157401,0.008933317432431562,0.3468216921279096,1.0793187222629148,0.32072985624733746,1.1934266639806286,0.37291352800848176,0.2147914646178773,0.9383705,0.14825578777783197,1.1138138,0.2813271414579226
156,39,10,-0.7194996691817043,0.5625703616198372,1.945891474851182,-0.5518403183298166,0.23302213751198617,2.620880754814267,3.6587608121903776,1.794990163756291,1.0580363460779283,2.4705167929837217,1.1923473670599594,1.1194635345288606,1.0,0.0,1.0,0.0,1.0,0.539646555309563,-0.35902914,0.5010016551404131,0.8879,0.5782914554787129
157,39,1000,-0.7194996691817043,0.5625703616198372,1.2592410522765591,-1.349650737508392,0.8758184267733801,1.4866842608481563,1.6426636777797383,0.9733806194873638,-0.25249430150135294,0.6490696072334297,-0.16747248891990135,1.2976916317412979,1.0,0.0,1.0,0.0,1.0,0.720774327995634,-1.1433357,0.5890705013602366,1.0421493,0.8524781546310313
158,39,100000,-0.7194996691817043,0.5625703616198372,0.171659936973315,-0.821528844163973,0.14180572883140827,0.6759362471088198,0.20151414511522173,1.0140320639272646,-0.0957189675411552,0.8669645426661314,-0.09062985189624272,1.1610995851883978,1.6336387486226402,-3.0173148158398155,3.193629191339927,0.6040027157057003,0.07364830590535348,0.6916851047174424,-1.254455,0.7435101419664434,0.9225367,0.6398600674684413
159,39,10000000,-0.7194996691817043,0.5625703616198372,0.01177765111326781,-0.7122699495139394,0.010048259891470575,0.5549716999289852,0.013507042335065046,1.014257529506121,-0.10074205131394563,0.8599831860541078,-0.09481103671452597,1.168531872958134,0.7015247710398798,-1.3226983532499799,0.8383585287180199,0.8802487892102234,0.5646910133617397,0.6916851047174424,-1.254455,0.7435101419664434,0.9225367,0.6398600674684413
160,40,10,-0.6449183576134948,0.505829819796409,0.1991443832787706,-0.6111144147066705,0.052415848467882054,0.6807826556261594,0.34587291808965914,0.6713396707921551,0.011217301204013345,1.0173933662634798,0.6703691660752438,0.3252859753208305,0.6508225126800434,0.0,1.0,0.353248770976033,0.3016450253600868,0.38395016094169626,-0.75562775,0.17166419970829414,0.80742383,0.5962361221750984
161,40,1000,-0.6449183576134948,0.505829819796409,1.4045202779926185,-1.386342794968973,1.1496407701884963,-0.3335440748233562,1.6593997857967409,0.06490478281776743,-0.6057935357994374,0.06066631745270501,0.5408045365648682,0.06914324818282985,1.0672743294143645,-1.4842214682451593,1.301409861765272,0.9272562673804142,0.8331387970634567,0.3960700742780706,-0.69808793,0.08244388214126705,0.86481535,0.7096962664148742
162,40,100000,-0.6449183576134948,0.505829819796409,0.12868225381434573,-0.7171382489922747,0.11198299835350933,0.4322915171580136,0.14538150927518215,0.1252416080450554,-0.5727240665583605,0.1119433029047081,0.5759074391175913,0.1385399131854027,0.7849695545829916,-0.8826247797426638,0.3685837429233617,1.1135111882143631,1.2013553662426215,0.3297930839838632,-0.6698204,0.0386127484000409,0.8199367,0.6209734195676855
