,Unnamed: 0,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
32,32,8,10,0.640673894508048,0.6523835556815412,1.3268976732838405,0.168919577758522,0.7363407824065787,1.9032993821067608,1.917454564161102,1.2497243912618816,-0.6025365731343687,1.9404731147927237,0.2877170220277017,0.5589756677310398,8.584489974279293,-9.71836945935752,16.168979948558587,0.0,1.0,0.39155054733804046,0.3648864,0.4304646931743874,0.42232937,0.3526364015016935
33,33,8,1000,0.640673894508048,0.6523835556815412,0.7251876891115672,1.1107184776607435,0.7336721336423844,1.119948966749628,0.71670324458075,0.9828760807366488,0.1136731157535985,0.8225725806404454,-0.0934080040447289,1.1431795808328524,0.5885734093439536,1.1867582257808635,0.852359267255825,0.8642696133259044,0.3247875514320821,0.6221269407050167,1.1544138,0.8018742908191772,0.9409847,0.4423795905908563
34,34,8,100000,0.640673894508048,0.6523835556815412,1.0426431624917414,1.256296523212523,0.9608985694308504,1.3859156376137551,1.1243877555526325,0.9905250477164884,0.0648468728227892,0.8987833383275543,-0.0536694795148253,1.0822667571054227,0.748144388199433,0.0,1.0,0.9761541922734746,0.4962887763988658,0.6629979984551273,1.1106299,0.7335339018985884,1.0388961,0.5924620950116664
35,35,8,10000000,0.640673894508048,0.6523835556815412,0.0471774108931081,0.6129854700462747,0.0432176567503727,0.6190225101279837,0.0511371650358436,0.991883716912527,0.057287299591659,0.9105827471936436,-0.0477444860860389,1.0731846866314103,0.7153781344259007,1.2318164103589473,0.9226886266449452,0.9838385306311872,0.5080676422068563,0.6775838307591484,1.1175603,0.7443511855693173,1.0508702,0.6108164759489794
36,36,9,10,0.8443327692902787,0.8883384048360901,0.2701364264707974,0.9924054848541995,0.175372460894046,0.5641833726405067,0.3649003920475488,0.5735333453596967,0.080393311811941,0.9047848019928004,0.6731100982840335,0.2422818887265929,0.6392558985659252,0.0,1.0,0.6409256792439493,0.2785117971318505,0.17099836299763718,0.844229,0.0001229211617012966,0.5846388,0.34187380483357305
37,37,9,1000,0.8443327692902787,0.8883384048360901,0.0211201629633447,0.8376527545713114,0.0079115900293462,0.9188339393231754,0.0343287358973432,0.1162576129159213,0.743963321723987,0.1188742770823158,0.9892900239723048,0.1136409487495269,0.6092995142440641,0.0,1.0,0.6941484925702271,0.2185990284881283,0.26061818276237164,0.51301795,0.39239838710346747,0.7738867,0.12883797842127578
38,38,9,100000,0.8443327692902787,0.8883384048360901,0.0225141444488629,0.8663190524048249,0.0260398315856285,0.8714702289571633,0.0189884573120973,0.0806532298872629,0.767740202562025,0.0907137203648214,0.9510486463563166,0.0705927394097043,0.675283828974173,0.0,1.0,0.5769156907871322,0.3505676579483461,0.2811825111026928,0.4927521,0.4164005911889126,0.7586726,0.14596443101647305
39,39,9,10000000,0.8443327692902787,0.8883384048360901,0.0047077406397416,0.8490009303390998,0.005528816621372,0.8848857313535706,0.0038866646581113,0.0727734811572859,0.7754873538488046,0.0815382488344536,0.9451998032646286,0.0640087134801182,0.6765037834073256,0.0,1.0,0.5747482260368932,0.3530075668146513,0.2286150470923689,0.5358157,0.36539746498269177,0.80675995,0.09183262920204605
40,40,10,10,-0.7086588609574537,-0.8634595523234674,1.036057330715659,-0.7624257257500708,0.0758712940101728,-2.5871349566856208,1.9962433674211455,0.5636045351812217,-0.6426543145049798,0.0931400848686158,0.0294171909626148,1.0340689854938274,1.0,0.0,1.0,0.0,1.0,0.41646267456618474,-0.8148782,0.1498878659692108,-1.4532348,0.6830374831631587
41,41,10,1000,-0.7086588609574537,-0.8634595523234674,0.6793634926596506,-0.0963915232082437,0.8639803599181541,-1.290653252005888,0.494746625401147,0.3156209426676452,-0.6452311108447479,0.0895039258057253,-0.3956907363114404,0.541737959529565,0.8229857744911138,-1.2224066749529887,0.7249578637899503,-1.658717616623378,0.9210136851922772,0.5245157245689508,-0.9879597,0.3941259149806238,-1.428944,0.6549055341572778
