,Unnamed: 0,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
215,215,53,10000000,0.7226931693142171,0.7237373770512272,0.722726080557926,0.8128252195356342,0.7219230278457054,0.7340481877326965,0.0014448839166432,4.553971879945343e-05,0.1247168979152602,0.0010656548328006,0.08890962555546277
216,216,54,10,0.8705095855963535,1.0198985602795825,0.9953121177915396,0.9430206220250515,-2.915043028302269,1.1005480289459229,0.171610947375023,0.1433672118724443,0.0832972291500081,4.348662756315638,0.3120751619592589
217,217,54,1000,0.8705095855963535,0.8685342066182966,0.8836870356771142,35.42514018764583,0.933378042214939,0.9560840725898744,0.002269221397147,0.0151376277743492,39.69471580071964,0.0722202921815234,0.25440260293423667
218,218,54,100000,0.8705095855963535,0.8688057829468266,0.8702601258929087,1.573057708730505,0.8832675010785676,0.9703168272972108,0.0019572474303768,0.0002865674400057,0.8070538621959716,0.0146556863856635,0.22436876597448918
219,219,54,10000000,0.8705095855963535,0.8696231768971876,0.8703542961232209,1.5577207412162055,0.8688522826857178,0.9703168272972108,0.0010182641453151,0.0001783891592947,0.7894354835266626,0.0019038307424269,0.20223730180493305
220,220,55,10,0.8594342891926068,0.9230893435393948,1.0660384973573978,-0.1122634078216763,0.0,1.211479663848877,0.0740662260596892,0.2403955843545464,1.1306247717055158,1.0,0.16367343453157077
221,221,55,1000,0.8594342891926068,0.8207905223022433,0.8244939435823243,0.8644072514528905,0.8384624006363299,1.1205068826675415,0.0449641902543443,0.0406550518750038,0.0057863205166687,0.0244019686205199,0.00197159723777299
222,222,55,100000,0.8594342891926068,0.8552446870864197,0.8552305304302606,0.860563375620221,0.7807913858615906,1.1384146213531494,0.0048748370397497,0.0048913091032187,0.0013137553874827,0.0915054290013225,0.0038079351686757003
223,223,55,10000000,0.8594342891926068,0.85964833886578,0.85964833886578,0.8615577605973007,0.8581415097683099,1.1384146213531494,0.000249058800498,0.000249058800498,0.0024707780820437,0.0015042213704451,0.023467389832816852
224,224,56,10,0.7198015953469381,0.8829602659145869,0.8571032138243018,0.446517280442553,0.0,0.9010484218597412,0.2266717267957814,0.1907492555794982,0.3796661700543529,1.0,0.5870768881073504
225,225,56,1000,0.7198015953469381,0.9126721938903216,1.107846525163621,0.8337028859529316,1.2617003590113274,1.0419158935546875,0.2679496680615462,0.5390998468538383,0.1582398418429374,0.7528446271408982,0.19051981773577684
226,226,56,100000,0.7198015953469381,0.7144201922013579,0.7095577568950231,0.7683026364306019,0.7417151025895267,1.0627559423446655,0.0074762312008858,0.014231475059426,0.067381124739362,0.0304438158851626,0.0869797903141974
