Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate,Error,Cross Moment Error,GRICA Error
29,1000,0.6256854409252208,-0.8813585845172996,-4.971324075069384,0.6965768337249756,2.408628884210582,8.945404751176772,0.11330196958862494
29,100000,0.6256854409252208,0.7251680147411559,-24.654868040554163,0.7120363712310791,0.1589977444078402,40.40457365301042,0.13801013202124127
29,10000000,0.6256854409252208,-0.5502359894116452,-26.176440444901058,0.7120363712310791,1.8794131258640026,42.83642247803166,0.13801013202124127
30,10,-0.5240246660679172,0.06831737083655721,1.9027120836992517,-0.7461380958557129,1.1303705250159022,4.630959011865764,0.4238606389551294
30,1000,-0.5240246660679172,-0.5340685080494533,-0.5472329328458293,-0.31788182258605957,0.01916673514035372,0.04428850067699704,0.3933838554369502
30,100000,-0.5240246660679172,-0.2734341477774456,-0.5533094798003135,-0.3870585560798645,0.4782036696303019,0.05588441848002784,0.2613734025457133
30,10000000,-0.5240246660679172,-0.5297547131753275,-0.5328231972376936,-0.3870585560798645,0.010934689678648954,0.016790299654780006,0.2613734025457133
31,10,-0.7076844809759584,-0.5489716315437044,-0.07292494861630741,-1.0052562952041626,0.22427063712542508,0.8969527373049957,0.4204865617765517
31,1000,-0.7076844809759584,-0.2568972664575432,-1.8894886385451184,-0.69475257396698,0.6369889783321806,1.669959126331765,0.01827354895665392
31,100000,-0.7076844809759584,-0.09331287264539774,-1.2070921435580042,-0.7364342212677002,0.8681433956037707,0.7056925452050599,0.04062508231365118
31,10000000,-0.7076844809759584,-0.11544671235198516,-1.168725770126327,-0.7364342212677002,0.836866971856195,0.6514785918642056,0.04062508231365118
32,10,0.6459952407072737,0.0373086796857363,6.96239464349377,0.045652031898498535,0.9422462003823922,9.777780089944518,0.929330699327574
32,1000,0.6459952407072737,-0.18497021370969008,-0.6501839173273207,0.0022824807092547417,1.2863337096836407,2.0064840673059154,0.9964667220972777
32,100000,0.6459952407072737,0.6335811112270161,-0.4578572239514194,0.11001168191432953,0.0192170602784408,1.7087625343030861,0.829702024129648
32,10000000,0.6459952407072737,-0.18519115315224388,-0.4771575168088044,0.11001168191432953,1.286675723724351,1.7386393687457886,0.829702024129648
33,10,-0.6454105480053767,-0.29727344804887834,2.71569620555786,-0.11869271844625473,0.5394041064751829,5.207703474866724,0.8160973370933102
33,1000,-0.6454105480053767,0.2590043586897191,0.23341782816489615,-0.24507716298103333,1.4013017132895718,1.3616579073370703,0.6202771030959481
33,100000,-0.6454105480053767,0.27719309924641244,-0.5332215597535469,-0.23521211743354797,1.4294833731848202,0.17382577430528012,0.6355620183765752
33,10000000,-0.6454105480053767,-0.6452146082362837,-0.5125765045945908,-0.23521211743354797,0.0003035893505280952,0.20581325145878973,0.6355620183765752
34,10,-0.6582717363187927,-0.6367797273673659,4.888476635823795,-0.08806534111499786,0.03264914436645123,8.426228966112511,0.8662173442118607
34,1000,-0.6582717363187927,0.43267470534476143,-0.9826648600329666,-1.0028058290481567,1.6572888998157178,0.492795157100706,0.523391896872374
34,100000,-0.6582717363187927,0.35825415052554554,-0.8069016502309765,-0.8283773064613342,1.5442344411275886,0.2257880837226228,0.2584123861884321
34,10000000,-0.6582717363187927,-0.6173666692428049,-0.8117203350447223,-0.8283773064613342,0.062140093245896144,0.23310828987440596,0.2584123861884321
35,10,0.6373485989045681,0.23187671123810258,0.6174920961285425,-0.12132982164621353,0.6361854224883577,0.03115485436094721,1.190366499361177
